phone_name,brand,os,inches,resolution,battery,battery_type,ram(GB),announcement_date,weight(g),storage(GB),price
iPhone SE (2022),Apple,iOS 15.4,4.7,750x1334,2018,Li-Ion,4,8/03/2022,144,64,498
iPhone 14 Pro Max,Apple,iOS 16,6.7,1290x2796,4323,Li-Ion,6,7/09/2022,240,128,1213.33
iPhone 14 Pro,Apple,iOS 16,6.1,1179x2556,3200,Li-Ion,6,7/09/2022,206,128,1087.84
iPhone 14 Plus,Apple,iOS 16,6.7,1284x2778,4323,Li-Ion,6,7/09/2022,203,128,933
iPhone 14,Apple,iOS 16,6.1,1170x2532,3279,Li-Ion,6,7/09/2022,172,128,816
Pixel 6a,Google,Android 12,6.1,1080x2400,4410,Li-Po,6,11/05/2022,178,128,285
Pixel 7,Google,Android 13,6.3,1080x2400,4355,Li-Ion,8,6/10/2022,197,128,463
Pixel 7 Pro,Google,Android 13,6.7,1440x3120,5000,Li-Ion,8,6/10/2022,212,128,670
Pixel 7a,Google,Android 13,6.1,1080x2400,4385,Li-Po,8,10/05/2023,193,128,394
Pixel Fold,Google,Android 13,7.6,1840x2208,4821,Li-Po,12,10/05/2023,283,256,1750
nova 9 SE,Huawei,Android 11,6.78,1080x2388,4000,Li-Po,8,8/03/2022,191,128,222.61
nova Y70 Plus,Huawei,EMUI 12,6.75,720x1600,6000,Li-Po,4,20/04/2022,199,64,235
nova 9 SE 5G,Huawei,Android 11,6.78,1080x2388,4000,Li-Po,8,20/04/2022,191,128,370
Mate Xs 2,Huawei,EMUI 12,7.8,2200x2480,4880,Li-Po,8,28/04/2022,255,256,1995.99
nova Y90,Huawei,EMUI 12,6.7,1080x2388,5000,Li-Po,8,23/06/2022,195,128,219
nova 10 SE,Huawei,EMUI 12,6.67,1080x2400,4500,Li-Po,8,5/10/2022,184,128,311.87
nova Y61,Huawei,EMUI 12,6.52,720x1600,5000,Li-Po,6,1/11/2022,188,64,189.3
nova 11i,Huawei,EMUI 13,6.8,1080x2388,5000,Li-Po,8,1/05/2023,193,128,279
nova Y71,Huawei,EMUI 12,6.75,720x1600,6000,Li-Po,8,9/05/2023,199,128,190
nova Y91,Huawei,EMUI 13,6.95,1080x2376,7000,Li-Po,8,23/05/2023,214,128,280
A36,Oppo,Android 11,6.56,720x1612,5000,Li-Po,8,10/01/2022,185,128,190
A96 (China),Oppo,Android 11,6.43,1080x2400,4500,Li-Po,8,12/01/2022,171,128,140
Reno6 Lite,Oppo,Android 11,6.43,1080x2400,5000,Li-Po,6,17/01/2022,175,128,220
Reno7 5G,Oppo,Android 11,6.43,1080x2400,4500,Li-Po,8,4/02/2022,173,128,280
A76,Oppo,Android 11,6.56,720x1612,5000,Li-Po,6,17/02/2022,189,128,380
Find X5,Oppo,Android 12,6.55,1080x2400,4800,Li-Po,8,24/02/2022,196,128,174.99
Find X5 Pro,Oppo,Android 12,6.7,1440x3216,5000,Li-Po,8,24/02/2022,218,256,299
Find X5 Lite,Oppo,Android 11,6.43,1080x2400,4500,Li-Po,8,24/02/2022,173,256,335.988
Reno7 Z 5G,Oppo,Android 12,6.43,1080x2400,4500,Li-Po,8,2/03/2022,173,128,464.78
A96,Oppo,Android 11,6.59,1080x2412,5000,Li-Po,8,16/03/2022,191,128,350
A16e,Oppo,Android 11,6.52,720x1600,4230,Li-Po,4,21/03/2022,175,32,699.99
K10,Oppo,Android 11,6.59,1080x2412,5000,Li-Po,8,23/03/2022,189,128,120
Reno7,Oppo,Android 12,6.43,1080x2400,4500,Li-Po,8,29/03/2022,175,128,234.08
F21 Pro,Oppo,Android 12,6.43,1080x2400,4500,Li-Po,8,12/04/2022,175,128,180
F21 Pro 5G,Oppo,Android 12,6.43,1080x2400,4500,Li-Po,8,12/04/2022,173,128,339
Reno7 Lite,Oppo,Android 11,6.43,1080x2400,4500,Li-Po,8,14/04/2022,173,128,280
A57,Oppo,Android 12,6.56,720x1612,5000,Li-Po,8,14/04/2022,186,128,330
A55s,Oppo,Android 11,6.5,720x1600,5000,Li-Po,8,18/04/2022,186,128,350
K10 5G (China),Oppo,Android 12,6.59,1080x2412,5000,Li-Po,8,24/04/2022,205,128,200
K10 Pro,Oppo,Android 12,6.62,1080x2400,5000,Li-Po,8,24/04/2022,199,128,160
Reno8 Pro+,Oppo,Android 12,6.7,1080x2412,4500,Li-Po,8,23/05/2022,183,256,350
Reno8 Pro (China),Oppo,Android 12,6.62,1080x2400,4500,Li-Po,8,23/05/2022,188,128,360
